Month of Data Escala de Tempo 1 CE Simp 4,MAX MIN 1 CE Simp 4,MIN MAX 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
June 2023,6/6/2023,5/27/2023,6/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39917.91729483
May 2023,5/6/2023,4/26/2023,5/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41246.68173003
April 2023,4/6/2023,3/27/2023,4/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40279.18528364
March 2023,3/6/2023,2/24/2023,3/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,43688.79210519
February 2023,2/6/2023,1/27/2023,2/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,43029.63230602
January 2023,1/6/2023,12/27/2022,1/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40419.27577456
December 2022,12/6/2022,11/26/2022,12/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39008.37946053
November 2022,11/6/2022,10/27/2022,11/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39196.92956177
October 2022,10/6/2022,9/26/2022,10/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40165.24091447
September 2022,9/6/2022,8/27/2022,9/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38914.10728969
August 2022,8/6/2022,7/27/2022,8/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38527.32982854
July 2022,7/6/2022,6/26/2022,7/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38367.82238523
June 2022,6/6/2022,5/27/2022,6/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37862.94072222
May 2022,5/6/2022,4/26/2022,5/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38909.55538232
April 2022,4/6/2022,3/27/2022,4/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41693.10957706
March 2022,3/6/2022,2/24/2022,3/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,44684.96304724
February 2022,2/6/2022,1/27/2022,2/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,42875.04408296
January 2022,1/6/2022,12/27/2021,1/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41489.80337143
December 2021,12/6/2021,11/26/2021,12/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40155.93076668
November 2021,11/6/2021,10/27/2021,11/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39935.98205697
October 2021,10/6/2021,9/26/2021,10/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38994.29389129
September 2021,9/6/2021,8/27/2021,9/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40777.36249017
August 2021,8/6/2021,7/27/2021,8/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38572.31631535
July 2021,7/6/2021,6/26/2021,7/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37048.45434621
June 2021,6/6/2021,5/27/2021,6/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38224.78030914
May 2021,5/6/2021,4/26/2021,5/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39123.40667618
April 2021,4/6/2021,3/27/2021,4/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39701.23557651
March 2021,3/6/2021,2/24/2021,3/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,42491.49593848
February 2021,2/6/2021,1/27/2021,2/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,42336.83820741
January 2021,1/6/2021,12/27/2020,1/1/2021 12:00:00 AM,Mês,Sudeste/Centro-Oeste,42107.40413546
December 2020,12/6/2020,11/26/2020,12/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40770.94122716
November 2020,11/6/2020,10/27/2020,11/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40061.31156811
October 2020,10/6/2020,9/26/2020,10/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41493.9872521
September 2020,9/6/2020,8/27/2020,9/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40811.54222384
August 2020,8/6/2020,7/27/2020,8/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37439.58741803
July 2020,7/6/2020,6/26/2020,7/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36673.94183045
June 2020,6/6/2020,5/27/2020,6/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,35768.34591166
May 2020,5/6/2020,4/26/2020,5/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,34600.66665095
April 2020,4/6/2020,3/27/2020,4/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,35355.94843476
March 2020,3/6/2020,2/25/2020,3/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39830.76358284
February 2020,2/6/2020,1/27/2020,2/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41094.84767078
January 2020,1/6/2020,12/27/2019,1/1/2020 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40803.10598225
December 2019,12/6/2019,11/26/2019,12/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38742.72578577
November 2019,11/6/2019,10/27/2019,11/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39652.84128525
October 2019,10/6/2019,9/26/2019,10/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40730.10601884
September 2019,9/6/2019,8/27/2019,9/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39420.26424121
August 2019,8/6/2019,7/27/2019,8/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37097.10237597
July 2019,7/6/2019,6/26/2019,7/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36486.91061681
June 2019,6/6/2019,5/27/2019,6/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37203.97337117
May 2019,5/6/2019,4/26/2019,5/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39077.84376043
April 2019,4/6/2019,3/27/2019,4/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40439.05428076
March 2019,3/6/2019,2/24/2019,3/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40575.48847922
February 2019,2/6/2019,1/27/2019,2/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,42050.71753999
January 2019,1/6/2019,12/27/2018,1/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,43247.21707816
December 2018,12/6/2018,11/26/2018,12/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39815.59022126
November 2018,11/6/2018,10/27/2018,11/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39103.29447088
October 2018,10/6/2018,9/26/2018,10/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39316.56825131
September 2018,9/6/2018,8/27/2018,9/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38124.45022688
August 2018,8/6/2018,7/27/2018,8/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37393.42799531
July 2018,7/6/2018,6/26/2018,7/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37060.46033685
June 2018,6/6/2018,5/27/2018,6/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37073.73611606
May 2018,5/6/2018,4/26/2018,5/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37337.95429235
April 2018,4/6/2018,3/27/2018,4/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39591.2392472
March 2018,3/6/2018,2/24/2018,3/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41890.33942688
February 2018,2/6/2018,1/27/2018,2/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39962.42140956
January 2018,1/6/2018,12/27/2017,1/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40095.31797891
December 2017,12/6/2017,11/26/2017,12/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38397.27108788
November 2017,11/6/2017,10/27/2017,11/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38197.4591779
October 2017,10/6/2017,9/26/2017,10/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38998.04769593
September 2017,9/6/2017,8/27/2017,9/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38238.89952789
August 2017,8/6/2017,7/27/2017,8/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36550.3048148
July 2017,7/6/2017,6/26/2017,7/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,35370.76262767
June 2017,6/6/2017,5/27/2017,6/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36520.6317727
May 2017,5/6/2017,4/26/2017,5/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36876.01916795
April 2017,4/6/2017,3/27/2017,4/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37739.54223203
March 2017,3/6/2017,2/24/2017,3/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40491.73526879
February 2017,2/6/2017,1/27/2017,2/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40979.00954457
January 2017,1/6/2017,12/27/2016,1/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39881.95558528
December 2016,12/6/2016,11/26/2016,12/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37599.09948698
November 2016,11/6/2016,10/27/2016,11/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37402.3666373
October 2016,10/6/2016,9/26/2016,10/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37703.12219417
September 2016,9/6/2016,8/27/2016,9/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37414.56968864
August 2016,8/6/2016,7/27/2016,8/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36964.0109071
July 2016,7/6/2016,6/26/2016,7/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,35943.32567674
June 2016,6/6/2016,5/27/2016,6/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,35668.35619135
May 2016,5/6/2016,4/26/2016,5/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36489.89741983
April 2016,4/6/2016,3/27/2016,4/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40562.77142848
March 2016,3/6/2016,2/25/2016,3/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39743.02162886
February 2016,2/6/2016,1/27/2016,2/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40324.15728662
January 2016,1/6/2016,12/27/2015,1/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37362.51974635
December 2015,12/6/2015,11/26/2015,12/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38110.38337257
November 2015,11/6/2015,10/27/2015,11/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38433.06889509
