Month of Data Escala de Tempo 1 ENAS Simp 4,MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
August 2023,8/7/2023,Selecione Tipo de ENAS Simp 4,7/26/2023,,8/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,18773.48632813
July 2023,7/7/2023,Selecione Tipo de ENAS Simp 4,6/25/2023,,7/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22875.49414063
June 2023,6/7/2023,Selecione Tipo de ENAS Simp 4,5/26/2023,,6/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,30862.0390625
May 2023,5/7/2023,Selecione Tipo de ENAS Simp 4,4/25/2023,,5/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,36569.2578125
April 2023,4/7/2023,Selecione Tipo de ENAS Simp 4,3/26/2023,,4/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,55159.87890625
March 2023,3/7/2023,Selecione Tipo de ENAS Simp 4,2/23/2023,,3/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,71116.7578125
February 2023,2/7/2023,Selecione Tipo de ENAS Simp 4,1/26/2023,,2/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,73924.8828125
January 2023,1/7/2023,Selecione Tipo de ENAS Simp 4,12/26/2022,,1/1/2023 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,77841.1796875
December 2022,12/7/2022,Selecione Tipo de ENAS Simp 4,11/25/2022,,12/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,42680.6953125
November 2022,11/7/2022,Selecione Tipo de ENAS Simp 4,10/26/2022,,11/1/2022 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,24616.359375
