Data;Media
01/02/2000;1897,96
01/03/2000;1879,81
01/04/2000;2303,92
01/05/2000;2068,45
01/06/2000;1906,14
01/07/2000;1868,34
01/08/2000;1985,39
01/09/2000;1942,25
01/10/2000;2280,77
01/11/2000;1886,24
01/12/2000;2012,42
01/01/2001;1948,32
01/02/2001;2038,17
01/03/2001;2169,76
01/04/2001;2102,55
01/05/2001;1366,46
01/06/2001;1108,09
01/07/2001;1016,84
01/08/2001;994,81
01/09/2001;1119,98
01/10/2001;1289,72
01/11/2001;1220,98
01/12/2001;1624,42
01/01/2002;1147,36
01/02/2002;1005,34
01/03/2002;1670,29
01/04/2002;1876,30
01/05/2002;1760,74
01/06/2002;1713,00
01/07/2002;1693,54
01/08/2002;1801,32
01/09/2002;2095,99
01/10/2002;1726,19
01/11/2002;1982,89
01/12/2002;1794,79
01/01/2003;2115,46
01/02/2003;1855,54
01/03/2003;1944,15
01/04/2003;2116,56
01/05/2003;2060,48
01/06/2003;1597,45
01/07/2003;1644,00
01/08/2003;1577,46
01/09/2003;1594,62
01/10/2003;1611,06
01/11/2003;1463,50
01/12/2003;1504,24
01/01/2004;1269,13
01/02/2004;1093,50
01/03/2004;1128,30
01/04/2004;2891,78
01/05/2004;2289,13
01/06/2004;1558,15
01/07/2004;1753,52
01/08/2004;2110,62
01/09/2004;2321,52
01/10/2004;2245,69
01/11/2004;1921,06
01/12/2004;1667,55
01/01/2005;1871,46
01/02/2005;2812,23
01/03/2005;3347,76
01/04/2005;2955,60
01/05/2005;2226,89
01/06/2005;1986,31
01/07/2005;2028,59
01/08/2005;2163,35
01/09/2005;2349,98
01/10/2005;2406,39
01/11/2005;1784,79
01/12/2005;2096,83
01/01/2006;2319,67
01/02/2006;2341,86
01/03/2006;2165,61
01/04/2006;2527,19
01/05/2006;2309,02
01/06/2006;2049,98
01/07/2006;2252,69
01/08/2006;2521,95
01/09/2006;2561,52
01/10/2006;2522,90
01/11/2006;2157,28
01/12/2006;2720,48
01/01/2007;2890,06
01/02/2007;5994,44
01/03/2007;5242,83
01/04/2007;2408,76
01/05/2007;2128,84
01/06/2007;2307,29
01/07/2007;2561,72
01/08/2007;2073,24
01/09/2007;2570,63
01/10/2007;2729,18
01/11/2007;2497,67
01/12/2007;1793,73
01/01/2008;1440,73
01/02/2008;1103,61
01/03/2008;1110,47
01/04/2008;1195,77
01/05/2008;1329,28
01/06/2008;1554,11
01/07/2008;1509,91
01/08/2008;2318,34
01/09/2008;2164,52
01/10/2008;2294,71
01/11/2008;2309,11
01/12/2008;1714,89
01/01/2009;1459,47
01/02/2009;1906,05
01/03/2009;1864,62
01/04/2009;2151,36
01/05/2009;2526,34
01/06/2009;2145,42
01/07/2009;2290,58
01/08/2009;2075,52
01/09/2009;2145,43
01/10/2009;2352,76
01/11/2009;2084,52
01/12/2009;2203,72
01/01/2010;2082,77
01/02/2010;2262,18
01/03/2010;2118,01
01/04/2010;2099,18
01/05/2010;1845,39
01/06/2010;1495,05
01/07/2010;1593,11
01/08/2010;1653,47
01/09/2010;1819,89
01/10/2010;2054,21
01/11/2010;1679,12
01/12/2010;2238,13
01/01/2011;1892,54
01/02/2011;2335,79
01/03/2011;2003,01
01/04/2011;2513,94
01/05/2011;1674,38
01/06/2011;1860,70
01/07/2011;1880,92
01/08/2011;2275,84
01/09/2011;2353,56
01/10/2011;2627,63
01/11/2011;2024,11
01/12/2011;2178,48
01/01/2012;2551,66
01/02/2012;2969,32
01/03/2012;2704,84
01/04/2012;2360,43
01/05/2012;2655,21
01/06/2012;2357,56
01/07/2012;1840,14
01/08/2012;2085,03
01/09/2012;2125,27
01/10/2012;1730,11
01/11/2012;1424,71
01/12/2012;2480,02
01/01/2013;1978,36
01/02/2013;1359,60
01/03/2013;1364,19
01/04/2013;1397,40
01/05/2013;1377,97
01/06/2013;1188,10
01/07/2013;1410,39
01/08/2013;1362,11
01/09/2013;1361,38
01/10/2013;1434,04
01/11/2013;1317,67
01/12/2013;1251,31
01/01/2014;1178,50
01/02/2014;1191,39
01/03/2014;1204,50
01/04/2014;1221,50
01/05/2014;1194,60
01/06/2014;1197,66
01/07/2014;1198,07
01/08/2014;1199,10
01/09/2014;1195,51
01/10/2014;1266,96
01/11/2014;1276,81
01/12/2014;1298,69
01/01/2015;1298,69
01/02/2015;1277,23
01/03/2015;1276,01
01/04/2015;1276,01
01/06/2015;1001,63
01/07/2015;977,64
01/08/2015;1011,58
01/09/2015;1032,55
01/10/2015;1043,09
01/11/2015;1084,37
01/12/2015;1082,33
01/01/2016;1092,26
01/02/2016;901,66
01/03/2016;893,54
01/04/2016;893,54
01/05/2016;893,54
01/06/2016;893,54
01/07/2016;919,72
01/08/2016;936,16
01/09/2016;960,51
01/10/2016;984,34
01/11/2016;962,09
01/12/2016;895,27
01/01/2017;1223,10
01/02/2017;860,74
01/03/2017;818,09
01/04/2017;865,41
01/05/2017;827,72
01/06/2017;714,20
01/07/2017;715,47
01/08/2017;730,96
01/09/2017;731,09
01/10/2017;716,47
01/11/2017;709,97
01/12/2017;772,87
01/01/2018;726,92
01/02/2018;760,83
01/03/2018;691,77
01/04/2018;768,96
01/05/2018;668,29
01/06/2018;722,75
01/07/2018;754,72
01/08/2018;743,59
01/09/2018;763,20
01/10/2018;793,52
01/11/2018;798,16
01/12/2018;783,33
01/01/2019;986,15
01/02/2019;859,19
