Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:48020000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
48020000;1;01/10/2022;;1;1;1347,105;1074,545;1163,122;1;14;1;1;1;;0;1347,105;1347,105;1337,867;1291,83;1273,486;1246,049;1236,924;1236,924;1236,924;1236,924;1236,924;1236,924;1146,269;1074,545;1110,316;1092,407;1092,407;1092,407;1092,407;1074,545;1092,407;1092,407;1092,407;1092,407;1092,407;1092,407;1092,407;1092,407;1092,407;1092,407;1092,407;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/09/2022;;1;1;1384,156;1218,707;1306,632;14;1;1;1;1;;0;1218,707;1218,707;1236,924;1264,33;1273,486;1282,653;1273,486;1273,486;1282,653;1291,83;1291,83;1291,83;1291,83;1384,156;1328,64;1319,422;1310,214;1310,214;1310,214;1310,214;1319,422;1337,867;1347,105;1347,105;1347,105;1347,105;1347,105;1347,105;1347,105;1347,105;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/08/2022;;1;1;2470,138;1062,754;1786,455;11;23;1;1;1;;0;2398,558;2412,809;2412,809;2412,809;2412,809;2412,809;2412,809;2441,408;2427,092;2441,408;2470,138;2470,138;2470,138;2470,138;2427,092;1986,453;1496,892;1211,967;1094,087;1094,087;1094,087;1094,087;1062,754;1083,603;1094,087;1094,087;1094,087;1104,61;1094,087;1094,087;1094,087;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/07/2022;;1;1;2384,34;950,908;1626,892;30;1;1;1;1;;0;950,908;980,933;970,885;950,908;970,885;980,933;970,885;970,885;970,885;1011,318;1278,218;1532,632;1728,706;1868,752;1907,676;1920,72;1920,72;1920,72;1920,72;1920,72;1920,72;1920,72;1920,72;1920,72;1920,72;1920,72;1946,91;2188,748;2356,002;2384,34;2384,34;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/06/2022;;1;1;970,885;911,44;952,942;5;1;1;1;1;;0;911,44;921,246;921,246;950,908;970,885;950,908;950,908;950,908;950,908;950,908;950,908;950,908;950,908;950,908;950,908;950,908;950,908;970,885;970,885;970,885;970,885;970,885;970,885;970,885;950,908;950,908;950,908;950,908;950,908;950,908;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/05/2022;;1;1;1533,403;1104,99;1305,169;22;14;1;1;1;;0;1513,633;1513,633;1503,177;1513,633;1513,633;1523,505;1513,633;1513,633;1492,925;1329,174;1237,318;1135,489;1125,32;1104,99;1104,99;1125,32;1125,32;1135,489;1176,19;1370,059;1513,633;1533,403;1513,633;1329,174;1115,154;1115,154;1125,32;1135,489;1155,834;1176,19;1176,19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/04/2022;;1;1;3101,222;1115,154;1927,373;1;11;1;1;1;;0;3101,222;3022,164;2930,994;2701,867;2186,04;1695,348;1573,261;1553,28;1145,66;1135,489;1115,154;1298,534;1503,177;1513,633;1768,292;2278,591;2337,236;2337,236;2337,236;2313,704;2313,704;2313,704;1950,671;1736,875;1928,833;1674,74;1513,633;1513,633;1513,633;1513,633;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/03/2022;;1;1;4219,033;3087,987;3454,392;5;13;1;1;1;;0;4129,212;4144,127;4174,023;4189,004;4219,033;4174,023;4159,064;4174,023;4219,033;3893,597;3677,911;3234,848;3087,987;3087,987;3087,987;3087,987;3087,987;3087,987;3087,987;3087,987;3087,987;3087,987;3087,987;3114,48;3087,987;3087,987;3087,987;3087,987;3087,987;3087,987;3087,987;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/02/2022;;1;1;4524,155;4144,127;4365,079;1;25;1;1;1;;0;4524,155;4524,155;4493,249;4462,43;4431,698;4431,698;4431,698;4431,698;4431,698;4431,698;4431,698;4416,365;4401,054;4370,498;4370,498;4401,054;4431,698;4416,365;4340,029;4340,029;4340,029;4294,49;4204,007;4189,004;4144,127;4189,004;4189,004;4159,064;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
48020000;1;01/01/2022;;1;1;4664,312;922,541;2619,98;25;5;1;1;1;;0;942,765;942,765;942,765;952,881;922,541;952,881;922,541;922,541;922,541;942,765;963,001;1196,556;1533,403;1685,031;2083,817;2396,492;2639,588;2956,925;3248,338;3635,382;3864,547;4294,49;4508,691;4633,014;4664,312;4648,651;4617,397;4586,229;4586,229;4555,149;4555,149;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
