,Data,Values
0,2002-01-01,22697.159153682875
1,2002-02-01,22788.0980177627
2,2002-03-01,23581.8044050108
3,2002-04-01,25092.506820378527
4,2002-05-01,25371.326309734737
5,2002-06-01,24251.668562739957
6,2002-07-01,24280.431389760277
7,2002-08-01,24202.89593436335
8,2002-09-01,24880.126734374877
9,2002-10-01,24922.383585292722
10,2002-11-01,26446.304493023767
11,2002-12-01,26030.91027455227
12,2003-01-01,24784.260328662953
13,2003-02-01,25629.229097480606
14,2003-03-01,26913.41521074074
15,2003-04-01,26028.666306119874
16,2003-05-01,25574.16781726511
17,2003-06-01,25500.221614876107
18,2003-07-01,25157.39991393252
19,2003-08-01,25612.590101462563
20,2003-09-01,25485.899594089322
21,2003-10-01,26292.41002553478
22,2003-11-01,26638.45203438114
23,2003-12-01,26465.362632301258
24,2004-01-01,26347.775101333147
25,2004-02-01,26080.570625535132
26,2004-03-01,26572.619667953313
27,2004-04-01,27263.15288769522
28,2004-05-01,26897.636734571908
29,2004-06-01,26317.95900629016
30,2004-07-01,26463.447735713304
31,2004-08-01,26644.16043356579
32,2004-09-01,27024.343385936023
33,2004-10-01,28113.13893058566
34,2004-11-01,27379.194748214722
35,2004-12-01,27583.955910070817
36,2005-01-01,27545.398300930865
37,2005-02-01,27375.26556190898
38,2005-03-01,28169.399332613273
39,2005-04-01,28781.970705942756
40,2005-05-01,29041.74116365696
41,2005-06-01,27383.950826873584
42,2005-07-01,27683.552253737194
43,2005-08-01,27494.473833543674
44,2005-09-01,28299.73193489497
45,2005-10-01,28441.6548495975
46,2005-11-01,28528.299266086982
47,2005-12-01,28394.311627756015
48,2006-01-01,27851.053272471632
49,2006-02-01,29383.31134472719
50,2006-03-01,29698.662889968848
51,2006-04-01,29946.839964920004
52,2006-05-01,28585.36049135287
53,2006-06-01,28074.74231571641
54,2006-07-01,28697.691599205027
55,2006-08-01,28702.156455333155
56,2006-09-01,29629.411600382788
57,2006-10-01,28998.826141935788
58,2006-11-01,29007.3859479549
59,2006-12-01,29772.05783657259
60,2007-01-01,29421.907770948066
61,2007-02-01,29690.80547767054
62,2007-03-01,30586.158774486255
63,2007-04-01,31907.53261774018
64,2007-05-01,30588.93699986031
65,2007-06-01,29231.999324591157
66,2007-07-01,29630.994377301788
67,2007-08-01,29648.306462530305
68,2007-09-01,30574.787390388017
69,2007-10-01,31036.436271252394
70,2007-11-01,31471.15106761682
71,2007-12-01,30901.411859108044
72,2008-01-01,30731.487228177084
73,2008-02-01,31075.190108606195
74,2008-03-01,31151.98111557171
75,2008-04-01,31937.464099699264
76,2008-05-01,31802.696249529294
77,2008-06-01,30559.905491483845
78,2008-07-01,31096.96046302062
79,2008-08-01,31466.555776069457
80,2008-09-01,31985.432661038543
81,2008-10-01,31974.58149869871
82,2008-11-01,32357.532039460064
83,2008-12-01,30974.30257152195
84,2009-01-01,28947.576861764792
85,2009-02-01,30420.172002369312
86,2009-03-01,31787.506113963955
87,2009-04-01,32214.46492289538
88,2009-05-01,30204.302117259518
89,2009-06-01,29905.476398674487
90,2009-07-01,29845.370386937473
91,2009-08-01,30355.721708862642
92,2009-09-01,31152.00898293318
93,2009-10-01,31678.46940302294
94,2009-11-01,31740.825290646462
95,2009-12-01,32794.21558382563
96,2010-01-01,32016.49328831931
97,2010-02-01,32485.508984135813
98,2010-03-01,34648.17180405846
99,2010-04-01,33545.351834219626
100,2010-05-01,32058.33405405933
101,2010-06-01,31895.617061312376
102,2010-07-01,32027.417732817765
103,2010-08-01,32439.26714534452
104,2010-09-01,32978.561837944006
105,2010-10-01,33733.169642273155
106,2010-11-01,33008.21137879866
107,2010-12-01,33014.85309745396
108,2011-01-01,34349.293843495274
109,2011-02-01,34261.32425357502
110,2011-03-01,36189.36841441217
111,2011-04-01,34287.09859056424
112,2011-05-01,33849.4601370783
113,2011-06-01,33579.480945011994
114,2011-07-01,32439.434012452533
115,2011-08-01,33720.19323668587
116,2011-09-01,34755.87811168359
117,2011-10-01,34775.926402622834
