"","l","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"1",28660.7496013443,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735,-15835.331546171,-11805.0504889914,-6392.58208460923,-3336.97500918936,7695.99249016284,18992.0810159751,21806.1720140649,20317.4219414643
"2",26159.4215480477,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735,-15835.331546171,-11805.0504889914,-6392.58208460923,-3336.97500918936,7695.99249016284,18992.0810159751,21806.1720140649
"3",30200.5235589147,21806.9053833404,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735,-15835.331546171,-11805.0504889914,-6392.58208460923,-3336.97500918936,7695.99249016284,18992.0810159751
"4",30282.8484863465,18992.0959561009,21806.9053833404,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735,-15835.331546171,-11805.0504889914,-6392.58208460923,-3336.97500918936,7695.99249016284
"5",26141.2152166272,7695.24087672118,18992.0959561009,21806.9053833404,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735,-15835.331546171,-11805.0504889914,-6392.58208460923,-3336.97500918936
"6",24680.7900891958,-3337.24004355741,7695.24087672118,18992.0959561009,21806.9053833404,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735,-15835.331546171,-11805.0504889914,-6392.58208460923
"7",24346.7368211699,-6392.6427077765,-3337.24004355741,7695.24087672118,18992.0959561009,21806.9053833404,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735,-15835.331546171,-11805.0504889914
"8",26559.3909641973,-11804.6489419477,-6392.6427077765,-3337.24004355741,7695.24087672118,18992.0959561009,21806.9053833404,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735,-15835.331546171
"9",29495.3732504588,-15834.798731311,-11804.6489419477,-6392.6427077765,-3337.24004355741,7695.24087672118,18992.0959561009,21806.9053833404,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271,-16734.1689672735
"10",37060.1282310886,-16732.7961341046,-15834.798731311,-11804.6489419477,-6392.6427077765,-3337.24004355741,7695.24087672118,18992.0959561009,21806.9053833404,20316.9680065878,6527.43736415883,-7449.11972826423,-13785.8770013271
