,Data,Values
0,2000-01-01,41807.52004002167
1,2000-02-01,50482.383580012174
2,2000-03-01,50219.50891765915
3,2000-04-01,35585.14387308984
4,2000-05-01,22304.768953288236
5,2000-06-01,17316.184852040416
6,2000-07-01,16893.06288041302
7,2000-08-01,17910.64336183886
8,2000-09-01,25264.82968735402
9,2000-10-01,23574.322664078667
10,2000-11-01,24869.05714612596
11,2000-12-01,34484.287165776346
12,2001-01-01,36673.50903607305
13,2001-02-01,35968.27835974865
14,2001-03-01,33199.53721782616
15,2001-04-01,27076.497901942323
16,2001-05-01,22090.468096111177
17,2001-06-01,19909.620287553345
18,2001-07-01,18482.4033331746
19,2001-08-01,17174.468940468232
20,2001-09-01,17682.59084344806
21,2001-10-01,22158.858752256245
22,2001-11-01,26217.186064126498
23,2001-12-01,34305.26221365351
24,2002-01-01,47618.526733766594
25,2002-02-01,57518.30618652756
26,2002-03-01,48665.07782719751
27,2002-04-01,31708.377108100594
28,2002-05-01,24626.450403602874
29,2002-06-01,20017.031323766052
30,2002-07-01,17510.928967944583
31,2002-08-01,17353.815675590013
32,2002-09-01,18552.839488776477
33,2002-10-01,17610.1097967003
34,2002-11-01,21975.035503161642
35,2002-12-01,31759.859568136
36,2003-01-01,48224.711590317056
37,2003-02-01,56662.71916539953
38,2003-03-01,48474.53687236007
39,2003-04-01,39170.110808168276
40,2003-05-01,27625.283237422755
41,2003-06-01,20658.127356880042
42,2003-07-01,18679.73283478437
43,2003-08-01,16740.209994478617
44,2003-09-01,16715.247352120477
45,2003-10-01,18015.001881873777
46,2003-11-01,22192.04597813419
47,2003-12-01,31127.564556091373
48,2004-01-01,41231.724513405214
49,2004-02-01,56594.84749053784
50,2004-03-01,57994.942350932426
51,2004-04-01,45915.11760696238
52,2004-05-01,35015.28547415161
53,2004-06-01,29077.57735022946
54,2004-07-01,25203.928673114293
55,2004-08-01,19857.938549431838
56,2004-09-01,16247.502905721929
57,2004-10-01,19876.315219896875
58,2004-11-01,25441.48656660471
59,2004-12-01,34921.87323641794
60,2005-01-01,53951.57200366359
61,2005-02-01,56649.68445576106
62,2005-03-01,50409.835081417325
63,2005-04-01,37802.502005710994
64,2005-05-01,27528.69837841823
65,2005-06-01,24505.306725385715
66,2005-07-01,20759.678115396946
67,2005-08-01,17832.667815775825
68,2005-09-01,19407.955830826428
69,2005-10-01,23543.873167027978
70,2005-11-01,28202.549614626427
71,2005-12-01,44846.85898456409
72,2006-01-01,47772.694945636234
73,2006-02-01,44909.561271111124
74,2006-03-01,49423.19095461367
75,2006-04-01,46303.12580978929
76,2006-05-01,32025.82671598843
77,2006-06-01,22089.645498776215
78,2006-07-01,19091.38082395286
79,2006-08-01,17735.778788228592
80,2006-09-01,19096.757828677342
81,2006-10-01,24834.971881066005
82,2006-11-01,29408.80860966961
83,2006-12-01,46195.86915073672
84,2007-01-01,76651.45312233407
85,2007-02-01,85036.65725065066
86,2007-03-01,58757.334322743816
87,2007-04-01,33950.533692137455
88,2007-05-01,23386.43744386558
89,2007-06-01,19180.714850752556
90,2007-07-01,19731.45557395053
91,2007-08-01,19241.252735915372
92,2007-09-01,16352.198488269623
93,2007-10-01,15949.585477659406
94,2007-11-01,22797.69031608823
95,2007-12-01,30338.715266054824
96,2008-01-01,37175.328520029296
97,2008-02-01,53787.91751000981
98,2008-03-01,60837.79616452037
99,2008-04-01,52732.716679992685
100,2008-05-01,38291.509389478466
101,2008-06-01,27051.028163441577
102,2008-07-01,20504.137724731958
103,2008-08-01,20127.90424286147
104,2008-09-01,18531.473305075113
105,2008-10-01,20409.324345904035
106,2008-11-01,25943.0906964736
107,2008-12-01,34783.68071537316
108,2009-01-01,48278.72221310782
109,2009-02-01,59461.375887394315
110,2009-03-01,51264.096544130254
111,2009-04-01,44067.30968964524
112,2009-05-01,33259.720138995515
113,2009-06-01,23788.440236893275
114,2009-07-01,24319.94820577585
115,2009-08-01,23937.972516352515
116,2009-09-01,28486.941831986496
117,2009-10-01,34609.805764669
118,2009-11-01,36818.25019326273
119,2009-12-01,51079.513991269625
120,2010-01-01,63582.50465821637
121,2010-02-01,58674.235893213285
122,2010-03-01,50123.87651255612
123,2010-04-01,41769.68871262341
124,2010-05-01,29068.04984649837
125,2010-06-01,20932.33163088541
126,2010-07-01,18612.3799729183
127,2010-08-01,16771.36046517939
128,2010-09-01,15989.59646095462
129,2010-10-01,21415.272333100602
130,2010-11-01,29217.059701874532
131,2010-12-01,40928.68335085102
132,2011-01-01,64292.18813062362
133,2011-02-01,58258.733195166256
134,2011-03-01,68478.48304680479
135,2011-04-01,60257.95409785258
136,2011-05-01,34896.019463091485
137,2011-06-01,24612.257363014844
138,2011-07-01,20094.577852683848
139,2011-08-01,21007.48754816235
140,2011-09-01,18632.182186085905
141,2011-10-01,22725.105637506767
142,2011-11-01,27925.163460876065
143,2011-12-01,39164.216706335035
144,2012-01-01,61833.1452424633
145,2012-02-01,56433.84528055876
146,2012-03-01,39706.86361976648
147,2012-04-01,31167.745172823168
148,2012-05-01,27119.682728104275
149,2012-06-01,32281.934237720936
150,2012-07-01,29167.995193293642
151,2012-08-01,20733.851655329006
152,2012-09-01,16973.99257858235
153,2012-10-01,16971.62987567756
154,2012-11-01,22926.234807229856
155,2012-12-01,29143.95853366819
156,2013-01-01,43672.9547099991
157,2013-02-01,56754.82897372086
158,2013-03-01,54313.705750391906
159,2013-04-01,51369.92513931345
160,2013-05-01,36513.78585104342
161,2013-06-01,33030.94690354793
162,2013-07-01,31666.7116051778
163,2013-08-01,22401.548726125086
