,DATA,MEDIA
0,2000-06-01,20.23
1,2000-07-01,36.13
2,2000-08-01,39.88
3,2000-09-01,142.19
4,2000-10-01,130.27
5,2000-11-01,239.65
6,2000-12-01,286.52
7,2001-01-01,295.0
8,2001-02-01,197.22
9,2001-03-01,300.6
10,2001-04-01,164.5
11,2001-05-01,95.27
12,2001-06-01,39.84
13,2001-07-01,10.63
14,2001-08-01,3.15
15,2001-09-01,57.58
16,2001-10-01,133.59
17,2001-11-01,162.1
18,2001-12-01,190.5
19,2002-01-01,194.78
20,2002-02-01,216.41
21,2002-03-01,198.38
22,2002-04-01,112.99
23,2002-05-01,72.75
24,2002-06-01,30.34
25,2002-07-01,14.97
26,2002-08-01,8.26
27,2002-09-01,88.51
28,2002-10-01,124.94
29,2002-11-01,144.41
30,2002-12-01,250.91
31,2003-01-01,294.25
32,2003-02-01,288.16
33,2003-03-01,336.03
34,2003-04-01,162.67
35,2003-05-01,54.16
36,2003-06-01,33.56
37,2003-07-01,6.23
38,2003-08-01,42.66
39,2003-09-01,73.28
40,2003-10-01,151.96
41,2003-11-01,183.83
42,2003-12-01,168.24
43,2004-01-01,347.7
44,2004-02-01,369.82
45,2004-03-01,270.62
46,2004-04-01,160.44
47,2004-05-01,65.53
48,2004-06-01,21.12
49,2004-07-01,32.52
50,2004-08-01,26.77
51,2004-09-01,83.83
52,2004-10-01,211.57
53,2004-11-01,158.66
54,2004-12-01,128.48
55,2005-01-01,173.62
56,2005-02-01,171.76
57,2005-03-01,246.0
58,2005-04-01,99.22
59,2005-05-01,65.96
60,2005-06-01,36.62
61,2005-07-01,10.27
62,2005-08-01,10.44
63,2005-09-01,88.0
64,2005-10-01,101.38
65,2005-11-01,184.07
66,2005-12-01,328.24
67,2006-01-01,207.76
68,2006-02-01,253.56
69,2006-03-01,251.39
70,2006-04-01,225.43
71,2006-05-01,117.36
72,2006-06-01,9.59
73,2006-07-01,9.06
74,2006-08-01,12.92
75,2006-09-01,93.5
76,2006-10-01,161.89
77,2006-11-01,169.55
78,2006-12-01,217.15
79,2007-01-01,186.24
80,2007-02-01,314.75
81,2007-03-01,190.2
82,2007-04-01,135.81
83,2007-05-01,56.12
84,2007-06-01,19.88
85,2007-07-01,42.07
86,2007-08-01,19.94
87,2007-09-01,33.33
88,2007-10-01,99.44
89,2007-11-01,150.86
90,2007-12-01,178.76
91,2008-01-01,240.61
92,2008-02-01,229.31
93,2008-03-01,277.71
94,2008-04-01,128.36
95,2008-05-01,81.83
96,2008-06-01,7.79
97,2008-07-01,2.94
98,2008-08-01,14.42
99,2008-09-01,66.76
100,2008-10-01,95.22
101,2008-11-01,167.04
102,2008-12-01,249.63
103,2009-01-01,269.57
104,2009-02-01,336.8
105,2009-03-01,295.19
106,2009-04-01,280.92
107,2009-05-01,162.87
108,2009-06-01,56.12
109,2009-07-01,14.24
110,2009-08-01,30.71
111,2009-09-01,115.95
112,2009-10-01,149.47
113,2009-11-01,149.09
114,2009-12-01,244.88
115,2010-01-01,277.08
116,2010-02-01,214.62
117,2010-03-01,226.62
118,2010-04-01,149.55
119,2010-05-01,44.65
120,2010-06-01,34.54
121,2010-07-01,15.13
122,2010-08-01,5.28
123,2010-09-01,28.32
124,2010-10-01,154.98
125,2010-11-01,207.63
126,2010-12-01,244.5
127,2011-01-01,333.31
128,2011-02-01,318.41
129,2011-03-01,274.02
130,2011-04-01,184.7
131,2011-05-01,102.81
132,2011-06-01,15.84
133,2011-07-01,9.48
134,2011-08-01,20.63
135,2011-09-01,36.83
136,2011-10-01,190.58
137,2011-11-01,258.65
138,2011-12-01,223.7
139,2012-01-01,425.78
140,2012-02-01,208.07
141,2012-03-01,283.77
142,2012-04-01,124.32
143,2012-05-01,87.88
144,2012-06-01,40.86
145,2012-07-01,21.64
146,2012-08-01,10.55
147,2012-09-01,46.66
148,2012-10-01,135.21
149,2012-11-01,219.71
150,2012-12-01,192.57
151,2013-01-01,322.66
152,2013-02-01,256.42
153,2013-03-01,317.03
154,2013-04-01,181.24
155,2013-05-01,109.54
156,2013-06-01,38.77
157,2013-07-01,36.79
158,2013-08-01,13.63
159,2013-09-01,80.32
160,2013-10-01,131.35
161,2013-11-01,184.44
162,2013-12-01,269.27
163,2014-01-01,213.6
164,2014-02-01,304.58
165,2014-03-01,254.5
166,2014-04-01,172.39
167,2014-05-01,80.7
168,2014-06-01,13.88
169,2014-07-01,4.46
170,2014-08-01,11.23
171,2014-09-01,71.75
172,2014-10-01,119.23
173,2014-11-01,172.99
174,2014-12-01,197.51
175,2015-01-01,150.84
176,2015-02-01,190.35
177,2015-03-01,207.98
178,2015-04-01,130.45
179,2015-05-01,87.1
180,2015-06-01,9.87
181,2015-07-01,15.24
182,2015-08-01,6.83
183,2015-09-01,24.71
184,2015-10-01,64.67
185,2015-11-01,112.87
186,2015-12-01,104.1
187,2016-01-01,321.28
188,2016-02-01,98.64
189,2016-03-01,250.14
190,2016-04-01,85.98
191,2016-05-01,33.93
192,2016-06-01,30.05
193,2016-07-01,4.45
194,2016-08-01,15.75
195,2016-09-01,69.78
196,2016-10-01,107.83
197,2016-11-01,144.5
198,2016-12-01,245.39
