,Data,Valor
0,1980-01-01,739
1,1980-02-01,602
2,1980-03-01,740
3,1980-04-01,1028
4,1980-05-01,1088
5,1980-06-01,1124
6,1980-07-01,1699
7,1980-08-01,1839
8,1980-09-01,1200
9,1980-10-01,963
10,1980-11-01,755
11,1980-12-01,642
12,1981-01-01,695
13,1981-02-01,540
14,1981-03-01,685
15,1981-04-01,962
16,1981-05-01,1007
17,1981-06-01,1039
18,1981-07-01,1430
19,1981-08-01,1650
20,1981-09-01,1181
21,1981-10-01,954
22,1981-11-01,689
23,1981-12-01,619
24,1982-01-01,789
25,1982-02-01,578
26,1982-03-01,646
27,1982-04-01,1071
28,1982-05-01,1034
29,1982-06-01,1069
30,1982-07-01,1471
31,1982-08-01,1629
32,1982-09-01,1155
33,1982-10-01,943
34,1982-11-01,661
35,1982-12-01,592
36,1983-01-01,723
37,1983-02-01,550
38,1983-03-01,740
39,1983-04-01,1023
40,1983-05-01,988
41,1983-06-01,1189
42,1983-07-01,1697
43,1983-08-01,1748
44,1983-09-01,1269
45,1983-10-01,1051
46,1983-11-01,796
47,1983-12-01,690
48,1984-01-01,745
49,1984-02-01,580
50,1984-03-01,828
51,1984-04-01,1170
52,1984-05-01,1096
53,1984-06-01,1316
54,1984-07-01,1763
55,1984-08-01,2011
56,1984-09-01,1406
57,1984-10-01,1093
58,1984-11-01,882
59,1984-12-01,752
60,1985-01-01,817
61,1985-02-01,652
62,1985-03-01,867
63,1985-04-01,1208
64,1985-05-01,1282
65,1985-06-01,1468
66,1985-07-01,1819
67,1985-08-01,2139
68,1985-09-01,1447
69,1985-10-01,1140
70,1985-11-01,802
71,1985-12-01,809
72,1986-01-01,926
73,1986-02-01,732
74,1986-03-01,921
75,1986-04-01,1028
76,1986-05-01,1125
77,1986-06-01,1167
78,1986-07-01,1680
79,1986-08-01,2048
80,1986-09-01,1337
81,1986-10-01,1195
82,1986-11-01,910
83,1986-12-01,828
84,1987-01-01,1038
85,1987-02-01,678
86,1987-03-01,925
87,1987-04-01,1315
88,1987-05-01,1305
89,1987-06-01,1427
90,1987-07-01,1883
91,1987-08-01,2228
92,1987-09-01,1507
93,1987-10-01,1348
94,1987-11-01,948
95,1987-12-01,963
96,1988-01-01,1021
97,1988-02-01,792
98,1988-03-01,964
99,1988-04-01,1324
100,1988-05-01,1191
101,1988-06-01,1498
102,1988-07-01,1930
103,1988-08-01,2084
104,1988-09-01,1535
105,1988-10-01,1366
106,1988-11-01,1073
107,1988-12-01,1021
108,1989-01-01,1132
109,1989-02-01,869
110,1989-03-01,1336
111,1989-04-01,1302
112,1989-05-01,1388
113,1989-06-01,1575
114,1989-07-01,2071
115,1989-08-01,2257
116,1989-09-01,1633
117,1989-10-01,1448
118,1989-11-01,1183
119,1989-12-01,1145
120,1990-01-01,1184
121,1990-02-01,968
122,1990-03-01,1171
123,1990-04-01,1411
124,1990-05-01,1482
125,1990-06-01,1644
126,1990-07-01,2206
127,1990-08-01,2309
128,1990-09-01,1791
129,1990-10-01,1524
130,1990-11-01,1204
131,1990-12-01,1123
132,1991-01-01,1015
133,1991-02-01,786
134,1991-03-01,1035
135,1991-04-01,1321
136,1991-05-01,1474
137,1991-06-01,1502
138,1991-07-01,2007
139,1991-08-01,2281
140,1991-09-01,1724
141,1991-10-01,1484
142,1991-11-01,1299
143,1991-12-01,1197
144,1992-01-01,1200
145,1992-02-01,966
146,1992-03-01,1179
147,1992-04-01,1648
148,1992-05-01,1594
149,1992-06-01,1655
150,1992-07-01,2037
151,1992-08-01,2430
152,1992-09-01,1721
153,1992-10-01,1483
154,1992-11-01,1235
155,1992-12-01,1385
156,1993-01-01,1164
157,1993-02-01,1153
158,1993-03-01,1294
159,1993-04-01,1724
160,1993-05-01,1801
161,1993-06-01,1697
162,1993-07-01,2290
163,1993-08-01,2615
164,1993-09-01,1795
165,1993-10-01,1582
166,1993-11-01,1410
167,1993-12-01,1341
168,1994-01-01,1214
169,1994-02-01,1058
170,1994-03-01,1568
171,1994-04-01,1668
172,1994-05-01,1725
173,1994-06-01,1876
174,1994-07-01,2338
175,1994-08-01,2555
176,1994-09-01,1998
177,1994-10-01,1800
178,1994-11-01,1532
179,1994-12-01,1462
180,1995-01-01,1482
181,1995-02-01,1167
182,1995-03-01,1568
183,1995-04-01,2073
184,1995-05-01,1925
185,1995-06-01,1954
186,1995-07-01,2624
187,1995-08-01,2897
188,1995-09-01,2226
189,1995-10-01,2077
190,1995-11-01,1842
191,1995-12-01,1703
192,1996-01-01,1526
193,1996-02-01,1366
194,1996-03-01,1827
195,1996-04-01,2118
196,1996-05-01,2239
197,1996-06-01,2323
198,1996-07-01,2826
199,1996-08-01,2990
200,1996-09-01,2314
201,1996-10-01,2123
202,1996-11-01,1653
203,1996-12-01,1855
204,1997-01-01,1664
205,1997-02-01,1377
206,1997-03-01,1899
207,1997-04-01,2021
208,1997-05-01,2195
209,1997-06-01,2230
210,1997-07-01,3000
211,1997-08-01,2939
212,1997-09-01,2229
213,1997-10-01,2082
214,1997-11-01,1820
215,1997-12-01,2059
216,1998-01-01,1631
217,1998-02-01,1406
218,1998-03-01,1767
219,1998-04-01,2227
220,1998-05-01,2431
221,1998-06-01,2176
222,1998-07-01,2785
223,1998-08-01,3002
224,1998-09-01,2241
225,1998-10-01,2255
226,1998-11-01,1773
227,1998-12-01,2052
228,1999-01-01,1680
229,1999-02-01,1511
230,1999-03-01,1855
231,1999-04-01,2161
232,1999-05-01,2295
233,1999-06-01,2344
234,1999-07-01,2712
235,1999-08-01,3013
236,1999-09-01,2187
237,1999-10-01,2061
238,1999-11-01,1836
239,1999-12-01,1739
240,2000-01-01,1621
241,2000-02-01,1553
242,2000-03-01,1819
243,2000-04-01,2187
244,2000-05-01,2304
245,2000-06-01,2242
