,Data,Values
0,2000-01-01,2154.6132321567666
1,2000-02-01,2148.4499177851844
2,2000-03-01,1910.4078922101362
3,2000-04-01,1966.8350025451443
4,2000-05-01,2311.062716519963
5,2000-06-01,2009.8857008146185
6,2000-07-01,1930.778926100437
7,2000-08-01,1957.3810238755295
8,2000-09-01,2019.6420210810998
9,2000-10-01,1960.5472783109149
10,2000-11-01,2241.9796797478775
11,2000-12-01,1863.5433706992494
12,2001-01-01,2035.9367014888255
13,2001-02-01,1986.770049036858
14,2001-03-01,2027.6287010283984
15,2001-04-01,2144.603543943668
16,2001-05-01,2054.161508747624
17,2001-06-01,1477.71363324713
18,2001-07-01,1405.1345442011143
19,2001-08-01,1342.8363837629654
20,2001-09-01,1256.6352935268258
21,2001-10-01,1333.7974218169031
22,2001-11-01,1410.594068788907
23,2001-12-01,1297.0264971916124
24,2002-01-01,1633.9886357013897
25,2002-02-01,1168.9245523614395
26,2002-03-01,1127.2146065429365
27,2002-04-01,1719.400121819012
28,2002-05-01,1705.091965319389
29,2002-06-01,1592.6120661962582
30,2002-07-01,1641.9397476762754
31,2002-08-01,1634.3157114644903
32,2002-09-01,1730.2184778818496
33,2002-10-01,1964.8380009227367
34,2002-11-01,1619.3152020492528
35,2002-12-01,1920.5222056637328
36,2003-01-01,1748.1125420433077
37,2003-02-01,2016.5009585698617
38,2003-03-01,1791.7867193856891
39,2003-04-01,1895.2831169421866
40,2003-05-01,2058.7138111282684
41,2003-06-01,1958.8183545521194
42,2003-07-01,1619.513668185151
43,2003-08-01,1755.427259089973
44,2003-09-01,1673.7618370182652
45,2003-10-01,1661.5825465079731
46,2003-11-01,1681.0108943857058
47,2003-12-01,1535.3782351327145
48,2004-01-01,1589.9426468594497
49,2004-02-01,1381.1223054186873
50,2004-03-01,1255.7360300268688
51,2004-04-01,1307.7206811037263
52,2004-05-01,2698.607691906748
53,2004-06-01,1879.8820736518983
54,2004-07-01,1435.693534065012
55,2004-08-01,1879.6376724792703
56,2004-09-01,2029.550848841159
57,2004-10-01,2130.682020601706
58,2004-11-01,2084.9229236807496
59,2004-12-01,1856.4118789500303
60,2005-01-01,1732.229827351424
61,2005-02-01,1939.0583374804417
62,2005-03-01,2644.343431010921
63,2005-04-01,2910.0111624419987
64,2005-05-01,2548.172487657122
65,2005-06-01,2132.119083823503
66,2005-07-01,2107.4624102707417
67,2005-08-01,2153.5494567629194
68,2005-09-01,2215.7689526787876
69,2005-10-01,2337.766517139717
70,2005-11-01,2348.657415467325
71,2005-12-01,1839.7721022075611
72,2006-01-01,2217.4552745939827
73,2006-02-01,2329.7098881578927
74,2006-03-01,2255.891627355892
75,2006-04-01,2158.0713699403473
76,2006-05-01,2486.0110765799536
77,2006-06-01,2240.6300614790766
78,2006-07-01,2068.948967292891
79,2006-08-01,2315.281667937672
80,2006-09-01,2462.5643252241007
81,2006-10-01,2440.4938325721496
82,2006-11-01,2435.0379680601427
83,2006-12-01,2162.2285940104975
84,2007-01-01,2690.97481388463
85,2007-02-01,2728.7932166639935
86,2007-03-01,5219.898839406979
87,2007-04-01,4148.4634767847665
88,2007-05-01,2075.0982725268263
89,2007-06-01,2674.2062776398348
90,2007-07-01,2701.535265611601
