combinacao,distribuicao,serie,MAPE Treino,MAPE Teste
ad,lognormal,ena,15.08,17.03
ad,lognormal,carga,2.06,2.39
ad,lognormal,viagens,6.8,8.51
ad,lognormal,precipitacao,37.74,46.6
ad,gama,ena,17.56,17.94
ad,gama,carga,2.19,2.42
ad,gama,viagens,5.36,7.09
ad,gama,precipitacao,42.59,56.33
mult1,lognormal,ena,19.37,13.66
mult1,lognormal,carga,2.37,3.31
mult1,lognormal,viagens,12.55,21.48
mult1,lognormal,precipitacao,40.41,46.75
mult1,gama,ena,16.81,23.68
mult1,gama,carga,2.11,4.77
mult1,gama,viagens,6.99,7.77
mult1,gama,precipitacao,42.05,42.98
mult2,lognormal,ena,16.35,22.26
mult2,lognormal,carga,2.11,2.27
mult2,lognormal,viagens,5.14,6.06
mult2,lognormal,precipitacao,37.71,49.01
mult2,gama,ena,16.83,21.34
mult2,gama,carga,1.97,3.45
mult2,gama,viagens,5.2,6.76
mult2,gama,precipitacao,41.18,54.59
