Combinacao,d,Distribuicao,Serie,Teste,pvalor,Rejeicao
multiplicative1,0.0,LogNormal,ena,ARCHLM,0.0,Rejeita H₀
multiplicative1,0.0,LogNormal,airline,ARCHLM,0.3997,Não rejeita H₀
multiplicative1,0.0,LogNormal,carga,ARCHLM,0.0,Rejeita H₀
multiplicative1,0.0,Gamma,ena,ARCHLM,0.0414,Rejeita H₀
multiplicative1,0.0,Gamma,airline,ARCHLM,0.0,Rejeita H₀
multiplicative1,0.0,Gamma,carga,ARCHLM,0.0001,Rejeita H₀
multiplicative1,0.5,LogNormal,ena,ARCHLM,0.0,Rejeita H₀
multiplicative1,0.5,LogNormal,airline,ARCHLM,0.0,Rejeita H₀
multiplicative1,0.5,LogNormal,carga,ARCHLM,0.0,Rejeita H₀
multiplicative1,0.5,Gamma,ena,ARCHLM,0.0,Rejeita H₀
multiplicative1,0.5,Gamma,airline,ARCHLM,0.4635,Não rejeita H₀
multiplicative1,0.5,Gamma,carga,ARCHLM,0.0,Rejeita H₀
multiplicative1,1.0,LogNormal,ena,ARCHLM,0.0014,Rejeita H₀
multiplicative1,1.0,LogNormal,airline,ARCHLM,0.0002,Rejeita H₀
multiplicative1,1.0,LogNormal,carga,ARCHLM,0.0,Rejeita H₀
multiplicative1,1.0,Gamma,ena,ARCHLM,0.0003,Rejeita H₀
multiplicative1,1.0,Gamma,airline,ARCHLM,0.0,Rejeita H₀
multiplicative1,1.0,Gamma,carga,ARCHLM,0.0,Rejeita H₀
multiplicative2,0.0,LogNormal,ena,ARCHLM,0.5782,Não rejeita H₀
multiplicative2,0.0,LogNormal,airline,ARCHLM,0.03,Rejeita H₀
multiplicative2,0.0,LogNormal,carga,ARCHLM,0.0938,Não rejeita H₀
multiplicative2,0.0,Gamma,ena,ARCHLM,0.0,Rejeita H₀
multiplicative2,0.0,Gamma,airline,ARCHLM,0.0369,Rejeita H₀
multiplicative2,0.0,Gamma,carga,ARCHLM,0.0,Rejeita H₀
multiplicative2,0.5,LogNormal,ena,ARCHLM,0.1227,Não rejeita H₀
multiplicative2,0.5,LogNormal,airline,ARCHLM,0.0001,Rejeita H₀
multiplicative2,0.5,LogNormal,carga,ARCHLM,0.0537,Não rejeita H₀
multiplicative2,0.5,Gamma,ena,ARCHLM,0.004,Rejeita H₀
multiplicative2,0.5,Gamma,airline,ARCHLM,0.0,Rejeita H₀
multiplicative2,0.5,Gamma,carga,ARCHLM,0.0146,Rejeita H₀
multiplicative2,1.0,LogNormal,ena,ARCHLM,0.1149,Não rejeita H₀
multiplicative2,1.0,LogNormal,airline,ARCHLM,0.0007,Rejeita H₀
multiplicative2,1.0,LogNormal,carga,ARCHLM,0.0021,Rejeita H₀
multiplicative2,1.0,Gamma,ena,ARCHLM,0.0089,Rejeita H₀
multiplicative2,1.0,Gamma,airline,ARCHLM,0.0001,Rejeita H₀
multiplicative2,1.0,Gamma,carga,ARCHLM,0.0169,Rejeita H₀
