Combinacao,d,Distribuicao,Serie,Teste,pvalor,Rejeicao
multiplicative1,0.0,LogNormal,ena,Jarque Bera,0.0,Rejeita H₀
multiplicative1,0.0,LogNormal,airline,Jarque Bera,0.0905,Não rejeita H₀
multiplicative1,0.0,LogNormal,carga,Jarque Bera,0.1229,Não rejeita H₀
multiplicative1,0.0,Gamma,ena,Jarque Bera,0.0,Rejeita H₀
multiplicative1,0.0,Gamma,airline,Jarque Bera,0.0,Rejeita H₀
multiplicative1,0.0,Gamma,carga,Jarque Bera,0.0,Rejeita H₀
multiplicative1,0.5,LogNormal,ena,Jarque Bera,0.623,Não rejeita H₀
multiplicative1,0.5,LogNormal,airline,Jarque Bera,0.0,Rejeita H₀
multiplicative1,0.5,LogNormal,carga,Jarque Bera,0.0076,Rejeita H₀
multiplicative1,0.5,Gamma,ena,Jarque Bera,0.0,Rejeita H₀
multiplicative1,0.5,Gamma,airline,Jarque Bera,0.0271,Rejeita H₀
multiplicative1,0.5,Gamma,carga,Jarque Bera,0.0,Rejeita H₀
multiplicative1,1.0,LogNormal,ena,Jarque Bera,0.8038,Não rejeita H₀
multiplicative1,1.0,LogNormal,airline,Jarque Bera,0.0,Rejeita H₀
multiplicative1,1.0,LogNormal,carga,Jarque Bera,0.0,Rejeita H₀
multiplicative1,1.0,Gamma,ena,Jarque Bera,0.0013,Rejeita H₀
multiplicative1,1.0,Gamma,airline,Jarque Bera,0.0037,Rejeita H₀
multiplicative1,1.0,Gamma,carga,Jarque Bera,0.0,Rejeita H₀
multiplicative2,0.0,LogNormal,ena,Jarque Bera,0.1215,Não rejeita H₀
multiplicative2,0.0,LogNormal,airline,Jarque Bera,0.3438,Não rejeita H₀
multiplicative2,0.0,LogNormal,carga,Jarque Bera,0.5951,Não rejeita H₀
multiplicative2,0.0,Gamma,ena,Jarque Bera,0.0,Rejeita H₀
multiplicative2,0.0,Gamma,airline,Jarque Bera,0.0,Rejeita H₀
multiplicative2,0.0,Gamma,carga,Jarque Bera,0.0,Rejeita H₀
multiplicative2,0.5,LogNormal,ena,Jarque Bera,0.6893,Não rejeita H₀
multiplicative2,0.5,LogNormal,airline,Jarque Bera,0.0,Rejeita H₀
multiplicative2,0.5,LogNormal,carga,Jarque Bera,0.6039,Não rejeita H₀
multiplicative2,0.5,Gamma,ena,Jarque Bera,0.0,Rejeita H₀
multiplicative2,0.5,Gamma,airline,Jarque Bera,0.0,Rejeita H₀
multiplicative2,0.5,Gamma,carga,Jarque Bera,0.0,Rejeita H₀
multiplicative2,1.0,LogNormal,ena,Jarque Bera,0.6796,Não rejeita H₀
multiplicative2,1.0,LogNormal,airline,Jarque Bera,0.0,Rejeita H₀
multiplicative2,1.0,LogNormal,carga,Jarque Bera,0.5943,Não rejeita H₀
multiplicative2,1.0,Gamma,ena,Jarque Bera,0.0,Rejeita H₀
multiplicative2,1.0,Gamma,airline,Jarque Bera,0.2342,Não rejeita H₀
multiplicative2,1.0,Gamma,carga,Jarque Bera,0.0,Rejeita H₀
