norm, d,   ar, fit,            forecast
Sim,  0,   1,  trigo pura,     dinamica ok mas ordem maior
Sim,  0.5, 1,  trigo pura,     dinamica ok mas ordem maior
Sim,  1,   1,  muito pequeno,  dinamica ok mas muito pequeno
Sim,  0,   2,  ok mas pequeno, dinamica ok mas ordem maior
Sim,  0.5, 2,  trigo pura,     horrivel
Sim,  1,   2,  trigo pura,     pico enorme no meio
Sim,  0,   3,  trigo ok,       dinamica ok mas ordem maior
Sim,  0.5, 3,  trigo pura,     dinamica ok mas ordem maior
Sim,  1,   3,  trigo ok,       dinamica ok mas ordem maior
Nao,  0,   1,  trigo ok,       dinamica ok mas ordem maior
Nao,  0.5, 1,  linha reta,     horrivel
Nao,  1,   1,  trigo ok,       dinamica ok mas ordem maior
Nao,  0,   2,  trigo ok,       horrivel
Nao,  0.5, 2,  trigo ok,       horrivel
Nao,  1,   2,  horrivel,       horrivel
Nao,  0,   3,  trigo boa,      horrivel
Nao,  0.5, 3,  trigo boa,      dinamica ok mas ordem maior
Nao,  1,   3,  trigo ok,       horrivel
